1604,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1925,org.jfree.chart.ui.RectangleInsets,calculateRightInset
4664195,org.jfree.chart.ui.RectangleInsets,trimWidth
4490,org.jfree.chart.block.BlockBorder,getInsets
1603,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1925,org.jfree.chart.ui.RectangleInsets,calculateRightInset
4319721,org.jfree.chart.ui.RectangleInsets,trimWidth
1284,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1604,org.jfree.chart.ui.RectangleInsets,calculateRightInset
5262696,org.jfree.chart.ui.RectangleInsets,trimWidth
10225179,org.jfree.chart.block.AbstractBlock,trimToContentWidth
1283,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1604,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
4840923,org.jfree.chart.ui.RectangleInsets,trimHeight
2246,org.jfree.chart.block.BlockBorder,getInsets
1604,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1603,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
4581765,org.jfree.chart.ui.RectangleInsets,trimHeight
1283,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1603,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
4349229,org.jfree.chart.ui.RectangleInsets,trimHeight
8581067,org.jfree.chart.block.AbstractBlock,trimToContentHeight
3207,org.jfree.data.Range,getLowerBound
2565,org.jfree.data.Range,getUpperBound
642,org.jfree.data.Range,getUpperBound
962,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1282,org.jfree.chart.ui.RectangleInsets,calculateRightInset
4469185,org.jfree.chart.ui.RectangleInsets,trimWidth
1603,org.jfree.chart.block.BlockBorder,getInsets
962,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
11547,org.jfree.chart.ui.RectangleInsets,calculateRightInset
6855808,org.jfree.chart.ui.RectangleInsets,trimWidth
1283,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1604,org.jfree.chart.ui.RectangleInsets,calculateRightInset
5688316,org.jfree.chart.ui.RectangleInsets,trimWidth
12030301,org.jfree.chart.block.AbstractBlock,trimToContentWidth
18272535,org.jfree.chart.block.AbstractBlock,trimToContentWidth
962,org.jfree.data.Range,getLowerBound
962,org.jfree.data.Range,getUpperBound
641,org.jfree.data.Range,getUpperBound
962,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1603,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
5599151,org.jfree.chart.ui.RectangleInsets,trimHeight
1284,org.jfree.chart.block.BlockBorder,getInsets
962,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1283,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
6128371,org.jfree.chart.ui.RectangleInsets,trimHeight
962,org.jfree.chart.ui.RectangleInsets,calculateTopInset
3848,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
7697108,org.jfree.chart.ui.RectangleInsets,trimHeight
13766143,org.jfree.chart.block.AbstractBlock,trimToContentHeight
19143343,org.jfree.chart.block.AbstractBlock,trimToContentHeight
3529,org.jfree.chart.block.RectangleConstraint,getWidthConstraintType
2886,org.jfree.chart.block.RectangleConstraint,getHeightConstraintType
5303108,org.jfree.chart.block.AbstractBlock,toContentConstraint
963,org.jfree.chart.block.RectangleConstraint,getWidthConstraintType
