ExecutionTime,Class
1342.37,org.jfree.chart.axis.DateTickUnitType
1322.59,org.jfree.data.time.DateRange
1306.63,org.jfree.chart.axis.ValueTick
1289.67,org.jfree.data.time.TimeSeriesDataItem
1219.77,org.jfree.chart.axis.CategoryLabelPosition
1190.05,org.jfree.chart.plot.CrosshairState
1119.72,org.jfree.chart.util.ParamChecks
890.32,org.jfree.chart.renderer.category.CategoryItemRendererState
869.83,org.jfree.chart.axis.DateAxis$DefaultTimeline
831.19,org.jfree.chart.event.RendererChangeEvent
786.77,org.jfree.chart.event.ChartChangeEvent
766.19,org.jfree.chart.axis.CategoryTick
450.95,org.jfree.data.gantt.Task
