4503504,org.jfree.chart.ui.RectangleInsets,trimHeight
1604,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1925,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
4558993,org.jfree.chart.ui.RectangleInsets,trimHeight
9414670,org.jfree.chart.block.AbstractBlock,trimToContentHeight
14515713,org.jfree.chart.block.AbstractBlock,trimToContentHeight
2886,org.jfree.chart.block.RectangleConstraint,getWidthConstraintType
2566,org.jfree.chart.block.RectangleConstraint,getHeightConstraintType
4975633,org.jfree.chart.block.AbstractBlock,toContentConstraint
962,org.jfree.chart.block.RectangleConstraint,getWidthConstraintType
1604,org.jfree.chart.block.RectangleConstraint,getHeightConstraintType
24376,org.jfree.chart.block.BlockContainer,getBlocks
962,org.jfree.chart.block.RectangleConstraint,getWidthConstraintType
2245,org.jfree.chart.block.RectangleConstraint,getHeightConstraintType
4170,org.jfree.chart.block.BlockContainer,getBlocks
963,org.jfree.chart.util.ParamChecks,nullNotPermitted
5275525,org.jfree.chart.block.AbstractBlock,toContentConstraint
1604,org.jfree.chart.block.RectangleConstraint,getWidthConstraintType
1924,org.jfree.chart.block.RectangleConstraint,getHeightConstraintType
1603,org.jfree.chart.util.ParamChecks,nullNotPermitted
6628084,org.jfree.chart.block.AbstractBlock,toContentConstraint
2565,org.jfree.chart.block.RectangleConstraint,getWidthConstraintType
1925,org.jfree.chart.block.RectangleConstraint,getHeightConstraintType
83713,org.jfree.chart.title.LegendGraphic,arrangeNN
5452,org.jfree.chart.ui.Size2D,getWidth
6094,org.jfree.chart.ui.RectangleInsets,calculateLeftOutset
5773,org.jfree.chart.ui.RectangleInsets,calculateRightOutset
7167247,org.jfree.chart.ui.RectangleInsets,extendWidth
1924,org.jfree.chart.block.BlockBorder,getInsets
1924,org.jfree.chart.ui.RectangleInsets,calculateLeftOutset
1603,org.jfree.chart.ui.RectangleInsets,calculateRightOutset
4629555,org.jfree.chart.ui.RectangleInsets,extendWidth
1283,org.jfree.chart.ui.RectangleInsets,calculateLeftOutset
1283,org.jfree.chart.ui.RectangleInsets,calculateRightOutset
4510561,org.jfree.chart.ui.RectangleInsets,extendWidth
8786340,org.jfree.chart.block.AbstractBlock,calculateTotalWidth
2887,org.jfree.chart.ui.Size2D,getHeight
3849,org.jfree.chart.ui.RectangleInsets,calculateTopOutset
25980,org.jfree.chart.ui.RectangleInsets,calculateBottomOutset
4503184,org.jfree.chart.ui.RectangleInsets,extendHeight
2245,org.jfree.chart.block.BlockBorder,getInsets
1604,org.jfree.chart.ui.RectangleInsets,calculateTopOutset
1603,org.jfree.chart.ui.RectangleInsets,calculateBottomOutset
4564445,org.jfree.chart.ui.RectangleInsets,extendHeight
1284,org.jfree.chart.ui.RectangleInsets,calculateTopOutset
1283,org.jfree.chart.ui.RectangleInsets,calculateBottomOutset
4513127,org.jfree.chart.ui.RectangleInsets,extendHeight
8915598,org.jfree.chart.block.AbstractBlock,calculateTotalHeight
13909193,org.jfree.chart.title.LegendGraphic,arrange
1209510,org.jfree.chart.text.TextUtilities,getTextBounds
6712760,org.jfree.chart.text.TextFragment,calculateDimensions
2245,org.jfree.chart.ui.Size2D,getWidth
6735,org.jfree.chart.ui.Size2D,getHeight
4362700,org.jfree.chart.text.TextLine,calculateDimensions
4170,org.jfree.chart.ui.Size2D,getWidth
2245,org.jfree.chart.ui.Size2D,getHeight
3949908,org.jfree.chart.text.TextBlock,calculateDimensions
3528,org.jfree.chart.ui.Size2D,getWidth
2245,org.jfree.chart.ui.RectangleInsets,calculateLeftOutset
24697,org.jfree.chart.ui.RectangleInsets,calculateRightOutset
5296052,org.jfree.chart.ui.RectangleInsets,extendWidth
2565,org.jfree.chart.block.BlockBorder,getInsets
641,org.jfree.chart.ui.RectangleInsets,calculateLeftOutset
1284,org.jfree.chart.ui.RectangleInsets,calculateRightOutset
4488110,org.jfree.chart.ui.RectangleInsets,extendWidth
962,org.jfree.chart.ui.RectangleInsets,calculateLeftOutset
1603,org.jfree.chart.ui.RectangleInsets,calculateRightOutset
4355002,org.jfree.chart.ui.RectangleInsets,extendWidth
8625329,org.jfree.chart.block.AbstractBlock,calculateTotalWidth
1604,org.jfree.chart.ui.Size2D,getHeight
962,org.jfree.chart.ui.RectangleInsets,calculateTopOutset
1604,org.jfree.chart.ui.RectangleInsets,calculateBottomOutset
4864337,org.jfree.chart.ui.RectangleInsets,extendHeight
1283,org.jfree.chart.block.BlockBorder,getInsets
641,org.jfree.chart.ui.RectangleInsets,calculateTopOutset
1283,org.jfree.chart.ui.RectangleInsets,calculateBottomOutset
4820716,org.jfree.chart.ui.RectangleInsets,extendHeight
963,org.jfree.chart.ui.RectangleInsets,calculateTopOutset
962,org.jfree.chart.ui.RectangleInsets,calculateBottomOutset
4526919,org.jfree.chart.ui.RectangleInsets,extendHeight
9069233,org.jfree.chart.block.AbstractBlock,calculateTotalHeight
13659337,org.jfree.chart.block.LabelBlock,arrange
641,org.jfree.chart.util.ParamChecks,nullNotPermitted
4808528,org.jfree.chart.block.AbstractBlock,setBounds
962,org.jfree.chart.util.ParamChecks,nullNotPermitted
4563483,org.jfree.chart.block.AbstractBlock,setBounds
8862676,org.jfree.chart.block.BorderArrangement,arrangeNN
2887,org.jfree.chart.ui.Size2D,getWidth
962,org.jfree.chart.ui.RectangleInsets,calculateLeftOutset
1604,org.jfree.chart.ui.RectangleInsets,calculateRightOutset
4645272,org.jfree.chart.ui.RectangleInsets,extendWidth
1283,org.jfree.chart.block.BlockBorder,getInsets
962,org.jfree.chart.ui.RectangleInsets,calculateLeftOutset
1924,org.jfree.chart.ui.RectangleInsets,calculateRightOutset
4544238,org.jfree.chart.ui.RectangleInsets,extendWidth
962,org.jfree.chart.ui.RectangleInsets,calculateLeftOutset
1284,org.jfree.chart.ui.RectangleInsets,calculateRightOutset
4361097,org.jfree.chart.ui.RectangleInsets,extendWidth
8847603,org.jfree.chart.block.AbstractBlock,calculateTotalWidth
1283,org.jfree.chart.ui.Size2D,getHeight
962,org.jfree.chart.ui.RectangleInsets,calculateTopOutset
1283,org.jfree.chart.ui.RectangleInsets,calculateBottomOutset
4643668,org.jfree.chart.ui.RectangleInsets,extendHeight
962,org.jfree.chart.block.BlockBorder,getInsets
